type,fuel_type,euro_status,nox,pm_exhaust,voc,co,nh3,ch4,n2o
CARS,DIESEL,E0,0.82366666666847933333,0.253200000001863,0.051941089864678,0.346126246022867,,0.019,
CARS,DIESEL,E1,0.787935379355723,0.159637282000068,0.031370804944545,0.309387107000343,,0.0085,
CARS,DIESEL,E2,0.910152258986075,0.068840000033774,0.01883330749398433333,0.074591748000376,,0.00475,
CARS,DIESEL,E3,0.996816052094887,0.062828000000012,0.01129337019094166667,0.007367278758345,,0.0015,
CARS,DIESEL,E4,0.825760000009617,0.030432000000002,0.005729067946324,0.019270951929364,,0.00055,
CARS,DIESEL,E5,0.723179271935215,0.00141300081484,0.000662780797364,0.001334975556603,,0.0000375,
CARS,DIESEL,E6,0.42393671731617766667,0.00087463498194975,0.000662780797364,0.063189939168717,,0.0000375,
CARS,PETROL,E0,0.5875,0,10.975,14.4,,0.09725,
CARS,PETROL,E1,0.672578843000238,0.002545,0.132288014759267,3.10882260461268,,0.0205,
CARS,PETROL,E2,0.193024576699303,0.002545,0.046185919548335,1.31589846599602,,0.0145,
CARS,PETROL,E3,0.075981184986783,0.0011465,0.038757040121063,2.14264401664022,,0.003,
CARS,PETROL,E4,0.018955088000065,0.0011465,0.020365600000082,1.10396849584808,,0.0033775,
CARS,PETROL,E5,0.010956226707367,0.002549921685412,0.011050684457547,0.960199268773321,,0.0033775,
CARS,PETROL,E6,0.01044020993212633333,0.00232671373493966667,0.01283536745167633333,0.825368746183283,,0.0033775,
CARS,PETROL/ELECTRIC,E4,0.014336000000013,,0.001202000001028,0.012455068483642,,0,
CARS,PETROL/ELECTRIC,E5,0.014336000000013,,0.001202000001028,0.012455068483642,,0,
CARS,PETROL/ELECTRIC,E6,0.014336000000013,,0.001202000001028,0.012455068483642,,0,
HCVs,DIESEL,E0,14.8678692084692438,0.41644172199016810884,0.42740503982100365646,1.9954228846716853,0.0029,0.109625,0.03
HCVs,DIESEL,E1,9.6553309392714471,0.32189687400351918707,0.3928108738987180068,1.4625171658216094,0.0029,0.109625,0.01121428571428571429
HCVs,DIESEL,E2,9.5807594052867558,0.15206119844992577211,0.25691693978188185374,1.0321808409117772,0.0029,0.07835589285714285714,0.01098214285714285714
HCVs,DIESEL,E3,7.4131041633469342,0.13365113615599490136,0.21942862151478315306,1.0685678764786492,0.0029,0.07183517857142857143,0.00585714285714285714
HCVs,DIESEL,E4,5.0634553345752877,0.02671916844898487075,0.04187523929210257483,0.67017926571101199063,0.0029,0.00441125,0.01425357142857142857
HCVs,DIESEL,E5,2.7047000854266939,0.03281952738441803105,0.04613070782533376457,0.72805063691964506803,0.011,0.00441125,0.03944285714285714286
HCVs,DIESEL,E6,0.25556219078649752381,0.00289716201163041464,0.02071432286384849093,0.06842387256242688095,0.009,0.00441125,0.04191071428571428571
HCVs,PETROL,E0,4.9852811349031522,,1.7032090094059413,4.0517944859884803,0.002,0.115,0.006
LCVs,DIESEL,E0,1.64073333333377,0.334920000000639,0.09434702996038733333,1.07010874867514233333,,0.019,
LCVs,DIESEL,E1,1.22377845978524766667,0.18677909400008066667,0.089744441338829,0.71266236900025566667,,0.0085,
LCVs,DIESEL,E2,1.26451741966203166667,0.15651333334464933333,0.08698643230463366667,0.6343972493336,,0.00475,
LCVs,DIESEL,E3,1.13962401736514233333,0.11043233333338933333,0.053872666666947,0.50227309292754433333,,0.0015,
LCVs,DIESEL,E4,0.92882400000346966667,0.05689233333338733333,0.01962735598216,0.402620317311042,,0.00055,
LCVs,DIESEL,E5,2.0341783197213983,0.00102948062305866667,0.00031198883059866667,0.00049719040301785853,,0.0000125,
LCVs,DIESEL,E6,1.00106846942806233333,0.000850034220848,0.00031198883059866667,0.02111551160705585853,,0.0000125,
LCVs,PETROL,E0,4.7958000000142433,0.002545,0.89665528404006333333,22.4323003571703,,0.09725,
LCVs,PETROL,E1,0.67299294769197133333,0.002545,0.12454933825554166667,7.5876075348728533,,0.0205,
LCVs,PETROL,E2,0.21693352556644966667,0.002545,0.03470410651611233333,4.4349461553347467,,0.0145,
LCVs,PETROL,E3,0.11957506167862233333,0.0011465,0.02418248004038633333,4.1209080055491333,,0.003,
LCVs,PETROL,E4,0.051198362666803,0.0011465,0.01161573333336066667,2.20236283197124,,0.00212583333333333333,
LCVs,PETROL,E5,0.01096317747664966667,0.00450315039769866667,0.01717607743471366667,1.9978190162630603,,0.00212583333333333333,
LCVs,PETROL,E6,0.01079117188490277778,0.00442874774754122222,0.01777097176609011111,1.9528755087330477,,0.00212583333333333333,
PSVs,DIESEL,E0,13.0753621096086672,0.4541257655350748381,0.57967529487710446667,2.7662994910339864,0.00203,0.1025,0.021
PSVs,DIESEL,E1,8.5193836388456996,0.28777555154451058095,0.35833276694228230476,1.3603926127988913,0.00203,0.1025,0.0074
PSVs,DIESEL,E2,8.4739975251866008,0.13145676607566822857,0.23843930729239454286,0.93889893360326092381,0.00203,0.066625,0.0073
PSVs,DIESEL,E3,6.5524639386734637,0.12368587726658967619,0.20981601847708169524,0.9712822582479294381,0.00203,0.060475,0.0037
PSVs,DIESEL,E4,4.4978270970074864,0.02401719775465150476,0.03779738230941873333,0.60874665538857207619,0.00203,0.003075,0.0086
PSVs,DIESEL,E5,2.4829187751662236,0.03304748138725356874,0.04494363574520340952,0.67041077772406565714,0.0077,0.003075,0.0233
PSVs,DIESEL,E6,0.21292015411820767619,0.0027380442459177651,0.01992371614860053793,0.06360419197155542857,0.0063,0.003075,0.02665
